Year,Month,Day,Hour,Price1,Price2,Datetime,Country
2023,4.0,1.0,1.0,82.19,82.19,2023-04-01 00:00:00,Spain
2023,4.0,1.0,2.0,63.9,63.9,2023-04-01 01:00:00,Spain
2023,4.0,1.0,3.0,50.0,50.0,2023-04-01 02:00:00,Spain
2023,4.0,1.0,4.0,42.5,42.5,2023-04-01 03:00:00,Spain
2023,4.0,1.0,5.0,39.45,39.45,2023-04-01 04:00:00,Spain
2023,4.0,1.0,6.0,38.32,38.32,2023-04-01 05:00:00,Spain
2023,4.0,1.0,7.0,42.5,42.5,2023-04-01 06:00:00,Spain
2023,4.0,1.0,8.0,54.67,54.67,2023-04-01 07:00:00,Spain
2023,4.0,1.0,9.0,63.78,63.78,2023-04-01 08:00:00,Spain
2023,4.0,1.0,10.0,55.0,55.0,2023-04-01 09:00:00,Spain
2023,4.0,1.0,11.0,33.33,33.33,2023-04-01 10:00:00,Spain
2023,4.0,1.0,12.0,18.16,18.16,2023-04-01 11:00:00,Spain
2023,4.0,1.0,13.0,15.49,15.49,2023-04-01 12:00:00,Spain
2023,4.0,1.0,14.0,15.0,15.0,2023-04-01 13:00:00,Spain
2023,4.0,1.0,15.0,10.35,10.35,2023-04-01 14:00:00,Spain
2023,4.0,1.0,16.0,4.16,4.16,2023-04-01 15:00:00,Spain
2023,4.0,1.0,17.0,4.16,4.16,2023-04-01 16:00:00,Spain
2023,4.0,1.0,18.0,4.16,4.16,2023-04-01 17:00:00,Spain
2023,4.0,1.0,19.0,4.16,4.16,2023-04-01 18:00:00,Spain
2023,4.0,1.0,20.0,17.99,17.99,2023-04-01 19:00:00,Spain
2023,4.0,1.0,21.0,36.55,36.55,2023-04-01 20:00:00,Spain
2023,4.0,1.0,22.0,49.01,49.01,2023-04-01 21:00:00,Spain
2023,4.0,1.0,23.0,37.38,37.38,2023-04-01 22:00:00,Spain
2023,4.0,1.0,24.0,33.65,33.65,2023-04-01 23:00:00,Spain
2023,4.0,2.0,1.0,19.0,19.0,2023-04-02 00:00:00,Spain
2023,4.0,2.0,2.0,18.6,18.6,2023-04-02 01:00:00,Spain
2023,4.0,2.0,3.0,18.34,18.34,2023-04-02 02:00:00,Spain
2023,4.0,2.0,4.0,18.16,18.16,2023-04-02 03:00:00,Spain
2023,4.0,2.0,5.0,18.16,18.16,2023-04-02 04:00:00,Spain
2023,4.0,2.0,6.0,18.16,18.16,2023-04-02 05:00:00,Spain
2023,4.0,2.0,7.0,18.46,18.46,2023-04-02 06:00:00,Spain
2023,4.0,2.0,8.0,18.6,18.6,2023-04-02 07:00:00,Spain
2023,4.0,2.0,9.0,18.46,18.46,2023-04-02 08:00:00,Spain
2023,4.0,2.0,10.0,14.0,14.0,2023-04-02 09:00:00,Spain
2023,4.0,2.0,11.0,4.16,4.16,2023-04-02 10:00:00,Spain
2023,4.0,2.0,12.0,0.1,0.1,2023-04-02 11:00:00,Spain
2023,4.0,2.0,13.0,1.05,0.1,2023-04-02 12:00:00,Spain
2023,4.0,2.0,14.0,9.41,0.1,2023-04-02 13:00:00,Spain
2023,4.0,2.0,15.0,0.0,0.0,2023-04-02 14:00:00,Spain
